planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots,quantum_use_ibm,quantum_backend
qrrt_grid,True,42.08163249801146,214,142,155,140,59,0,21,15,0,0,11818,155,76.24516129032259,1240,8.0,3441,22.2,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,False,324.22758829098893,2000,1050,1398,1049,602,0,235,349,0,0,97075,1398,69.43848354792561,11184,8.0,23817,17.036480686695278,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",2,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,False,319.58920880698133,2000,1107,1400,1106,600,0,191,294,0,0,102767,1400,73.405,11200,8.0,24818,17.72714285714286,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",3,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,True,15.84585971297929,73,52,57,50,16,0,5,7,0,0,4478,57,78.56140350877193,456,8.0,990,17.36842105263158,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",4,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,False,295.0962205249816,2000,1091,1415,1090,585,0,197,325,0,0,98119,1415,69.34204946996466,11320,8.0,23506,16.61201413427562,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",6,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,False,311.46696384000825,2000,1125,1438,1124,562,0,198,314,0,0,105596,1438,73.43254520166899,11504,8.0,26125,18.16759388038943,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",7,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,True,15.192991461022757,79,55,57,53,22,0,11,4,0,0,4533,57,79.52631578947368,456,8.0,1199,21.035087719298247,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",8,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,True,12.797962255019229,73,47,48,45,25,0,14,3,0,0,3602,48,75.04166666666667,384,8.0,930,19.375,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",9,2000,0.1,0.0,512,8,1,128,False,ibm_torino
qrrt_grid,False,320.85447133198613,2000,1133,1447,1132,553,0,194,315,0,0,104792,1447,72.4201796821009,11576,8.0,26153,18.07394609536973,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",10,2000,0.1,0.0,512,8,1,128,False,ibm_torino
